Subject,Cycle,Value,Age,AgeGroup
HAC021,2,-3.6015453756313107,35,30-39
HAC021,3,-2.538203282828257,35,30-39
HAC021,4,-1.5510134943181206,35,30-39
HAC021,5,-0.7418023200758294,35,30-39
HAC021,6,-0.11589212436872541,35,30-39
HAC021,7,0.4132187500000675,35,30-39
HAC021,8,0.9373756313131298,35,30-39
HAC021,9,1.5166189236111118,35,30-39
HAC021,10,2.1640632102272614,35,30-39
HAC021,11,2.852405066287875,35,30-39
HAC021,12,3.522926215277784,35,30-39
HAC021,13,4.110535748106018,35,30-39
HAC021,14,4.565047269570675,35,30-39
HAC021,15,4.8646643781565535,35,30-39
HAC021,16,5.025564630681817,35,30-39
HAC021,17,5.094880208333333,35,30-39
HAC021,18,5.129432054924247,35,30-39
HAC021,19,5.164933238636378,35,30-39
HAC021,20,5.228645517676765,35,30-39
HAC021,21,5.318196811868684,35,30-39
HAC021,22,5.431119791666673,35,30-39
HAC021,23,5.56640190972222,35,30-39
HAC021,24,5.719433001893922,35,30-39
HAC021,25,5.882434895833324,35,30-39
HAC021,26,6.03970280934343,35,30-39
HAC021,27,6.176530460858585,35,30-39
HAC021,28,6.285017755681816,35,30-39
HAC021,29,6.363739346590919,35,30-39
HAC021,30,6.41772814078283,35,30-39
HAC021,31,6.458379971590913,35,30-39
HAC021,32,6.492983191287883,35,30-39
HAC021,33,6.525788036616161,35,30-39
HAC021,34,6.560492187499998,35,30-39
HAC021,35,6.604371212121218,35,30-39
HAC021,36,6.645595328282822,35,30-39
HAC021,37,6.671617187500004,35,30-39
HAC021,38,6.666013415404036,35,30-39
HAC021,39,6.609676688762635,35,30-39
HAC021,40,6.480856060606047,35,30-39
HAC021,41,6.263384311868642,35,30-39
HAC021,42,5.953712279040328,35,30-39
HAC021,43,5.553261126893927,35,30-39
HAC021,44,5.068108349116099,35,30-39
HAC021,45,4.507317708333356,35,30-39
HAC021,46,3.877762784090909,35,30-39
HAC021,47,3.1827540246213135,35,30-39
HAC021,48,2.4185518465910536,35,30-39
HAC021,49,1.5763214962121437,35,30-39
HAC021,50,0.6496985479798871,35,30-39
HAC021,51,-0.37041642992434803,35,30-39
HAC021,52,-1.4801325757576123,35,30-39
HAC021,53,-2.6566528566921366,35,30-39
HAC021,54,-3.853484927399153,35,30-39
HAC021,55,-4.993256392045462,35,30-39
HAC021,56,-5.976704861111141,35,30-39
HAC021,57,-6.684063131313073,35,30-39
HAC021,58,-7.031468986742427,35,30-39
HAC021,59,-6.967405066287928,35,30-39
HAC021,60,-6.484064946338531,35,30-39
HAC021,61,-5.594715909090942,35,30-39
HAC021,62,-4.3294612531564605,35,30-39
HAC021,63,-2.757144018307889,35,30-39
HAC021,64,-0.9726825284089229,35,30-39
HAC021,65,0.9122727272731159,35,30-39
HAC021,66,2.7745669191919107,35,30-39
HAC021,67,4.490052083333356,35,30-39
HAC021,68,5.930314788510223,35,30-39
HAC021,69,7.018586568813219,35,30-39
HAC021,70,7.705930871212069,35,30-39
HAC021,71,8.006526515151522,35,30-39
HAC021,72,7.979850536616196,35,30-39
HAC021,73,7.718943181818139,35,30-39
HAC021,74,7.339877525252503,35,30-39
HAC021,75,6.950581202651512,35,30-39
HAC021,76,6.6380729166666415,35,30-39
HAC021,77,6.462280855429281,35,30-39
HAC021,78,6.440156250000006,35,30-39
HAC021,79,6.548425899621217,35,30-39
